tpgGen,envGen,frames,envName,tpgMin,tpgMax,tpgAvg,envFit,championSize
150,4,200,BattleZone-v0,0.0,1000.0,135.964912281,0.120857699805,9
151,4,200,Frostbite-v0,0.0,40.0,12.5531914894,0.280378250591,6
152,4,200,Alien-v0,0.0,210.0,110.510638298,0.840736988255,40
153,4,200,MsPacman-v0,50.0,220.0,67.5641025641,0.246414101085,44
154,4,200,DoubleDunk-v0,-2.0,2.0,-0.0666666666667,0.855555555556,32
155,4,200,UpNDown-v0,10.0,1870.0,94.4888888889,0.101480482294,11
156,4,200,Frostbite-v0,0.0,40.0,20.4564315353,0.455970493315,6
157,4,200,Alien-v0,0.0,210.0,116.962025316,0.855371747074,40
158,4,200,BattleZone-v0,0.0,1000.0,107.883817427,0.0958967266021,16
159,4,200,RoadRunner-v0,0.0,400.0,120.081967213,0.531420765027,53
160,4,200,MsPacman-v0,40.0,220.0,71.7355371901,0.393429241914,26
161,4,200,Centipede-v0,0.0,1920.0,207.809917355,0.207786374637,10
162,4,200,Skiing-v0,-1063.0,-934.0,-1000.36929461,0.836707616867,73
163,4,200,DoubleDunk-v0,-2.0,0.0,-0.0526315789474,0.865497076023,26
164,4,200,Skiing-v0,-1048.0,-934.0,-995.955752212,0.799344356164,73
165,4,200,Centipede-v0,0.0,1231.0,317.353191489,0.383404471576,66
166,4,200,UpNDown-v0,10.0,1530.0,95.1072961373,0.125311915056,11
167,4,200,Alien-v0,0.0,210.0,110.299145299,0.814767439106,40
168,4,200,MsPacman-v0,50.0,220.0,70.8979591837,0.276389771595,26
169,4,200,RoadRunner-v0,0.0,400.0,124.267782427,0.549046954905,53
170,4,200,Frostbite-v0,0.0,70.0,18.683127572,0.438509560203,53
171,4,200,BattleZone-v0,0.0,1000.0,487.179487179,0.433048433048,16
172,4,200,Centipede-v0,0.0,1640.0,535.372384937,0.566525830438,5
173,4,200,RoadRunner-v0,0.0,400.0,110.416666667,0.488425925926,53
174,4,200,DoubleDunk-v0,-2.0,0.0,-0.0729613733906,0.858369098712,6
175,4,200,Frostbite-v0,0.0,80.0,28.3404255319,0.623640661939,10
176,4,200,Alien-v0,0.0,140.0,120.289256198,0.806881430258,16
177,4,200,Skiing-v0,-1060.0,-934.0,-998.658333333,0.840677286004,73
178,4,200,MsPacman-v0,50.0,220.0,69.4190871369,0.259434210589,26
179,4,200,UpNDown-v0,10.0,1540.0,85.9574468085,0.112720098057,12
180,4,200,BattleZone-v0,0.0,1000.0,156.11814346,0.138771683075,9
181,5,200,Atlantis-v0,0.0,400.0,4.13223140496,0.0110192837466,40
182,5,200,Skiing-v0,-1053.0,-934.0,-998.130612245,0.802781488746,73
183,5,200,DoubleDunk-v0,-2.0,0.0,-0.0962343096234,0.847977684798,6
184,5,200,TimePilot-v0,0.0,200.0,10.0418410042,0.0781032078103,9
185,5,200,Kangaroo-v0,0.0,0.0,0.0,0.0,6
186,5,200,MsPacman-v0,50.0,440.0,71.5517241379,0.125940536197,8
187,5,200,RoadRunner-v0,0.0,200.0,122.033898305,0.564971751412,6
188,5,200,Frostbite-v0,0.0,80.0,14.76,0.326333333333,10
189,5,200,Alien-v0,0.0,210.0,111.851851852,0.848369099202,40
