tpgGen,envGen,frames,envName,tpgMin,tpgMax,tpgAvg,envFit,championSize,totalTeams,totalRootTeams
187,4,200,Centipede-v0,0.0,2235.0,250.708595388,0.249507052028,10,751,485
188,4,200,DoubleDunk-v0,-4.0,2.0,-0.0907216494845,0.971770395825,6,750,484
189,4,200,Asteroids-v0,0.0,480.0,58.6570247934,0.262165531578,245,751,477
190,4,200,Alien-v0,0.0,140.0,90.8176100629,0.644428281445,6,751,459
191,4,200,Atlantis-v0,0.0,700.0,5.66448801743,0.0141488694243,57,751,451
192,4,200,ChopperCommand-v0,0.0,300.0,136.363636364,0.673838657578,139,750,467
193,4,200,ChopperCommand-v0,0.0,600.0,175.588865096,0.598302799588,139,750,467
194,4,200,Atlantis-v0,0.0,700.0,7.92291220557,0.0186067289157,57,751,465
195,4,200,Asteroids-v0,0.0,410.0,50.688172043,0.25400480598,37,751,454
196,4,200,Centipede-v0,0.0,1930.0,257.508810573,0.295428829443,6,750,456
197,4,200,Frostbite-v0,0.0,70.0,13.2456140351,0.307116998846,11,750,452
198,4,200,DoubleDunk-v0,-2.0,2.0,-0.070796460177,0.8534906588,7,751,452
199,4,200,Bowling-v0,0.0,0.0,0.0,0.0,6,750,454
200,4,200,Boxing-v0,-19.0,2.0,-1.07268722467,0.935030628339,22,750,460
201,4,200,Alien-v0,0.0,140.0,94.7826086957,0.676013013901,6,751,464
202,4,200,Alien-v0,0.0,140.0,121.336206897,0.814879974979,6,750,468
203,4,200,Boxing-v0,-19.0,2.0,-0.508547008547,0.952484317564,22,751,467
204,4,200,Bowling-v0,0.0,0.0,0.0,0.0,4,750,464
205,4,200,Frostbite-v0,0.0,70.0,5.04310344828,0.122370787395,11,751,465
206,4,200,ChopperCommand-v0,0.0,600.0,155.268817204,0.516978627373,139,751,466
207,4,200,DoubleDunk-v0,-4.0,2.0,-0.0901287553648,0.971970539925,7,751,466
208,4,200,Asteroids-v0,0.0,480.0,60.7510729614,0.270414414772,37,750,468
209,4,200,Atlantis-v0,0.0,400.0,2.13675213675,0.00712250712251,10,751,469
210,4,200,Centipede-v0,0.0,2235.0,221.070362473,0.222088476395,10,750,460
211,5,200,Centipede-v0,0.0,2235.0,307.484782609,0.304571845049,10,750,465
212,5,200,Bowling-v0,0.0,0.0,0.0,0.0,4,751,469
213,5,200,Alien-v0,0.0,140.0,95.8848614072,0.680368807082,6,751,480
214,5,200,Boxing-v0,-19.0,2.0,-0.633333333333,0.950214159738,22,750,482
215,5,200,ChopperCommand-v0,0.0,600.0,164.315352697,0.555094513601,139,750,476
216,5,200,Freeway-v0,0.0,3.0,0.0819327731092,0.0400456478888,7,751,473
217,5,200,BankHeist-v0,0.0,10.0,0.0211416490486,0.00187925769321,6,751,471
218,5,200,DoubleDunk-v0,-2.0,2.0,-0.0467091295117,0.866713847606,7,751,475
219,5,200,Asteroids-v0,0.0,480.0,57.2421052632,0.253718323587,37,750,462
220,5,200,Bowling-v0,0.0,0.0,0.0,0.0,4,750,465
221,5,200,Alien-v0,0.0,140.0,98.2795698925,0.682632336089,10,751,471
222,5,200,Centipede-v0,0.0,2235.0,281.050955414,0.274215802961,10,750,464
223,5,200,BankHeist-v0,0.0,10.0,0.0646551724138,0.00574712643678,6,751,458
224,5,200,DoubleDunk-v0,-2.0,2.0,-0.0174672489083,0.877244056283,7,751,455
225,5,200,ChopperCommand-v0,0.0,600.0,125.934065934,0.430443630444,139,751,460
226,5,200,Freeway-v0,0.0,2.0,0.054347826087,0.0251207729469,12,750,452
227,5,200,Asteroids-v0,0.0,480.0,62.1238938053,0.267098219163,37,751,454
228,5,200,Boxing-v0,-19.0,2.0,-0.618942731278,0.947008922675,130,750,443
229,5,200,DoubleDunk-v0,-2.0,2.0,-0.0225733634312,0.876849761726,7,751,460
230,5,200,ChopperCommand-v0,0.0,600.0,156.739130435,0.533548040794,139,750,455
231,5,200,Bowling-v0,0.0,0.0,0.0,0.0,4,750,450
232,5,200,BankHeist-v0,0.0,10.0,0.0222222222222,0.00197530864198,6,751,451
233,5,200,Asteroids-v0,0.0,480.0,62.9046563193,0.27767341436,37,750,454
234,5,200,Alien-v0,0.0,140.0,107.488986784,0.765061384319,6,750,458
235,5,200,Boxing-v0,-19.0,2.0,-0.327510917031,0.948257290948,13,751,461
236,5,200,Freeway-v0,0.0,3.0,0.0715835140998,0.0340644331968,7,750,451
237,5,200,Centipede-v0,0.0,2235.0,270.210643016,0.268596881147,10,751,471
238,5,200,Bowling-v0,0.0,0.0,0.0,0.0,4,751,451
239,5,200,Alien-v0,0.0,140.0,110.842572062,0.760577401692,6,751,458
240,5,200,Freeway-v0,0.0,3.0,0.0327510917031,0.0148795083293,7,750,467
241,5,200,BankHeist-v0,0.0,10.0,0.0214132762313,0.00190340233167,6,751,476
242,5,200,Asteroids-v0,0.0,480.0,55.2941176471,0.24827523602,37,750,465
243,5,200,DoubleDunk-v0,-2.0,2.0,-0.0387096774194,0.869772998805,7,751,461
244,5,200,Boxing-v0,-19.0,2.0,-0.347071583514,0.951141411011,22,750,465
245,5,200,ChopperCommand-v0,0.0,600.0,141.935483871,0.492977565379,139,751,475
246,5,200,Centipede-v0,0.0,2022.0,297.726315789,0.311565647196,10,750,474
