tpgGen,envGen,gamesPlayed,frames,envName,tpgMin,tpgMax,tpgAvg,envFit,championSize,totalTeams,totalRootTeams,champUid
12,3,162,500,ChopperCommand-v0,0.0,1100.0,142.20665499124343,0.289576227165782,16,750,571,1470
13,3,163,500,BankHeist-v0,0.0,70.0,1.2412587412587412,0.03758146615289471,6,750,572,2500
13,3,164,500,FishingDerby-v0,-24.0,0.0,-18.825174825174827,0.47838427005093276,11,750,572,1759
13,3,165,500,Boxing-v0,-44.0,18.0,-7.0926573426573425,0.9388692010960479,6,750,572,1268
13,3,166,500,Freeway-v0,0.0,6.0,3.6853146853146854,0.7951307951307927,6,750,572,130
13,3,167,500,Asteroids-v0,0.0,1080.0,112.04545454545455,0.2263942047892671,6,750,572,692
13,3,168,500,DoubleDunk-v0,-4.0,2.0,-0.7237762237762237,0.8603988603988543,6,750,572,190
13,3,169,500,Bowling-v0,0.0,26.0,0.14335664335664336,0.01081364394973862,6,750,572,530
13,3,170,500,Gravitar-v0,0.0,600.0,5.594405594405594,0.016273849607182943,6,750,572,1380
13,3,171,500,ChopperCommand-v0,0.0,1100.0,135.3146853146853,0.27861578274801335,16,750,572,1470
14,3,172,500,FishingDerby-v0,-24.0,0.0,-18.708333333333332,0.4849001200274308,11,750,576,1759
14,3,173,500,Boxing-v0,-57.0,18.0,-7.666666666666667,0.9717980795610437,6,750,576,1268
14,3,174,500,DoubleDunk-v0,-4.0,2.0,-0.7673611111111112,0.8547668038408717,6,750,576,190
14,3,175,500,BankHeist-v0,0.0,70.0,0.9201388888888888,0.0278092718568909,6,750,576,2500
14,3,176,500,ChopperCommand-v0,0.0,1100.0,127.95138888888889,0.2649091929394956,16,750,576,1470
14,3,177,500,Freeway-v0,0.0,6.0,3.5902777777777777,0.7683470507544565,6,750,576,130
14,3,178,500,Gravitar-v0,0.0,600.0,6.336805555555555,0.018925754458161866,6,750,576,1380
14,3,179,500,Asteroids-v0,0.0,1080.0,109.39236111111111,0.220150055462413,6,750,576,692
14,3,180,500,Bowling-v0,0.0,26.0,0.1111111111111111,0.007807363576594344,6,750,576,530
15,4,181,500,FishingDerby-v0,-24.0,0.0,-18.82960413080895,0.47630734578525324,11,750,581,1759
15,4,182,500,BattleZone-v0,0.0,10000.0,111.87607573149742,0.02349971313826735,6,750,581,2403
15,4,183,500,Centipede-v0,0.0,4700.0,971.8967297762479,0.42717408955055386,11,750,581,1879
15,4,184,500,Freeway-v0,0.0,6.0,3.549053356282272,0.7568049977688515,6,750,581,130
15,4,185,500,DoubleDunk-v0,-5.0,2.0,-0.6901893287435457,0.918207328829408,6,750,581,190
15,4,186,500,Bowling-v0,0.0,26.0,0.11187607573149742,0.007939336947678004,6,750,581,530
15,4,187,500,Asteroids-v0,0.0,1080.0,107.55593803786574,0.22002045676992432,6,750,581,692
15,4,188,500,Boxing-v0,-44.0,18.0,-7.203098106712565,0.9405196227156288,6,750,581,1268
15,4,189,500,BankHeist-v0,0.0,70.0,0.9982788296041308,0.03053613872399217,6,750,581,2500
16,4,190,500,Boxing-v0,-41.0,18.0,-7.318965517241379,0.9249418573294989,6,751,580,1268
16,4,191,500,DoubleDunk-v0,-6.0,2.0,-0.5862068965517241,0.9528735632183954,6,751,580,190
16,4,192,500,FishingDerby-v0,-24.0,0.0,-18.705172413793104,0.4851372924648745,11,751,580,1759
16,4,193,500,BankHeist-v0,0.0,70.0,1.0344827586206897,0.031527093596059104,6,751,580,2500
16,4,194,500,Freeway-v0,0.0,6.0,3.7017241379310346,0.7821200510855659,6,751,580,130
16,4,195,500,Centipede-v0,0.0,4700.0,963.4775862068966,0.42299981399672915,11,751,580,1879
16,4,196,500,Bowling-v0,0.0,26.0,0.08448275862068966,0.005277834455553288,6,751,580,530
16,4,197,500,Asteroids-v0,0.0,1080.0,110.87931034482759,0.224518182152637,6,751,580,692
16,4,198,500,BattleZone-v0,0.0,10000.0,112.06896551724138,0.023601532567049797,6,751,580,2403
17,4,199,500,BankHeist-v0,0.0,70.0,0.8576329331046312,0.025826225287141725,6,751,583,2500
17,4,200,500,Freeway-v0,0.0,6.0,3.469982847341338,0.7394701734324353,6,751,583,130
17,4,201,500,Boxing-v0,-44.0,18.0,-7.548885077186964,0.9374359303874562,6,751,583,1268
17,4,202,500,BattleZone-v0,0.0,10000.0,128.64493996569468,0.027200304936153982,6,751,583,2403
17,4,203,500,Asteroids-v0,0.0,1080.0,112.21269296740995,0.2254540644167172,6,751,583,692
17,4,204,500,DoubleDunk-v0,-6.0,2.0,-0.4322469982847341,0.9588336192109824,6,751,583,190
17,4,205,500,Bowling-v0,0.0,26.0,0.09777015437392796,0.006649051641794748,6,751,583,530
17,4,206,500,Centipede-v0,0.0,4700.0,980.6981132075472,0.427742066047701,11,751,583,1879
17,4,207,500,FishingDerby-v0,-24.0,0.0,-18.69468267581475,0.4845996654172708,11,751,583,1759
18,4,208,500,Freeway-v0,0.0,6.0,3.5240549828178693,0.7466802426710766,6,751,582,130
18,4,209,500,FishingDerby-v0,-24.0,0.0,-18.647766323024054,0.49159454414322196,11,751,582,1759
18,4,210,500,Boxing-v0,-44.0,18.0,-7.407216494845361,0.9385126461196269,6,751,582,1268
18,4,211,500,DoubleDunk-v0,-8.0,2.0,-0.436426116838488,0.9755784650630003,6,751,582,190
