tpgGen,hoursElapsed,env,fitMin,fitMax,fitAvg,champSize,champUid,totalTeams,totalRootTeams
163,34.49934030473232,Boxing-v0,-100.0,38.0,14.485540334855408,24,16052,290,209
164,34.71492393069797,Boxing-v0,-100.0,38.0,13.006379585326965,24,16052,305,215
165,34.94266297267543,Boxing-v0,-100.0,38.0,11.883720930232544,24,16052,309,222
166,35.17249031311936,Boxing-v0,-100.0,38.0,14.16966966966967,24,16052,308,218
167,35.40652738895681,Boxing-v0,-100.0,38.0,14.902140672782874,24,16052,307,222
168,35.62401139597098,Boxing-v0,-100.0,38.0,14.53903903903903,24,16052,312,216
169,35.85496571878592,Boxing-v0,-100.0,38.0,14.169753086419746,24,16052,300,222
170,36.05809893495507,Boxing-v0,-100.0,38.0,15.887387387387385,24,16052,297,213
171,36.28169132457839,Boxing-v0,-100.0,38.0,14.273865414710489,24,16052,300,219
172,36.51192468649811,Boxing-v0,-100.0,38.0,14.56925418569254,24,16052,296,213
173,36.70641749097241,Boxing-v0,-100.0,38.0,14.420970266040683,24,16052,305,222
174,36.92850213514434,Boxing-v0,-100.0,38.0,13.996996996997005,24,16052,304,217
175,37.14618346942795,Boxing-v0,-100.0,38.0,13.800307219662058,24,16052,307,220
176,37.371088170607884,Boxing-v0,-57.666666666666664,38.0,13.446969696969703,24,16052,299,219
177,37.57194562885496,Boxing-v0,-54.0,38.0,16.427701674277024,24,16052,299,215
178,37.78300144692262,Boxing-v0,-100.0,38.0,11.79999999999999,24,16052,309,219
179,38.01304013742341,Boxing-v0,-100.0,38.0,14.701674277016735,24,16052,309,221
180,38.23886748406622,Boxing-v0,-100.0,38.0,14.473604826546008,24,16052,302,219
181,38.434075483348636,Boxing-v0,-100.0,38.0,12.277016742770172,24,16052,300,215
182,38.66357579655117,Boxing-v0,-60.666666666666664,38.0,15.021705426356593,24,16052,312,218
183,38.889864291681185,Boxing-v0,-100.0,38.0,12.977064220183493,24,16052,307,224
184,39.11950681673156,Boxing-v0,-100.0,38.0,16.550595238095244,24,16052,309,220
185,39.350511840581895,Boxing-v0,-100.0,38.0,14.777272727272738,24,16052,303,223
186,39.55822412815359,Boxing-v0,-100.0,38.0,14.345291479820629,24,16052,297,216
187,39.76689047574997,Boxing-v0,-100.0,38.0,12.822530864197534,24,16052,297,215
